Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
321,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Banking (M),IBM,United States,2011,Industry,11028,0,62143,129248,48.08,0,0,351.06,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
322,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Banking (M),IBM,United States,2011,Industry,11028,0,62143,129248,48.08,0,0,351.06,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
323,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Banking (M),IBM,United States,2011,Industry,11028,0,62143,129248,48.08,0,0,351.06,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
324,,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE",IT Service Provider,Hewlett-Packard,United States,2011,Industry,10110,0,61943.8,118489.2,52.28,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
325,,"Cluster Platform 4000 BL465c G7, Opteron 6174 12C 2.20 GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2011,Industry,13632,0,61810,119961.6,51.52,0,0,,,Cluster,Opteron 6174 12C 2.20GHz,AMD x86_64,2200,Linux,Linux,None,12,Opteron 12 Core,Cluster Platform 4000 BL465c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
326,Ekman,"PowerEdge SC1435 Dual core Opteron 2.2 GHz, Infiniband",KTH - Royal Institute of Technology,Dell,Sweden,2010,Academic,9800,0,61760,86024.4,71.79,1450624,0,,,Cluster,Opteron Dual Core 2C 2.20GHz,AMD x86_64,2200,Linux,Linux,None,2,Opteron Dual Core,PowerEdge SC1435,Dell PowerEdge Cluster,Infiniband,Infiniband,Northern Europe,Europe
327,,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",IT Service Provider,Hewlett-Packard,United States,2010,Industry,10056,0,61625.7,117856.3,52.29,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
328,DEGIMA,"DEGIMA Cluster, Intel i5, ATI Radeon GPU, Infiniband QDR",Nagasaki University,Self-made,Japan,2011,Academic,9900,9000,61410,138930,44.2,604800,0,,,Cluster,Core i5 4C 2.93GHz,Intel Core,2930,Linux,Linux,ATI GPU,4,Core i5,DEGIMA Cluster,NOW - Intel,Infiniband,Infiniband QDR,Eastern Asia,Asia
329,Tsessebe,"Blade X6275/ PowerEdge C6100 Cluster, Xeon X5570/X5670/ 4C 2.93 GHz, Infiniband QDR",Centre for High Performance Computing,Dell/Oracle,South Africa,2009,Academic,6336,0,61330,74257.92,82.59,0,0,,,Cluster,Xeon X5570 4C 2.93GHz,Intel EM64T,2930,CentOS,Linux,None,4,Xeon X55xx (Nehalem-EP),Blade X6275/ PowerEdge C6100 Cluster,Dell/Sun Cluster,Infiniband,Infiniband QDR,Southern Africa,Africa
330,Todi,"Cray XK6, Opteron 6272 16C 2.10 GHz, Cray Gemini interconnect, NVIDIA 2090",Swiss Scientific Computing Center (CSCS),Cray Inc.,Switzerland,2011,Research,5632,2816,60810,140694.4,43.22,0,0,,,Cluster,Opteron 6272 16C 2.10GHz,AMD x86_64,2100,Cray Linux Environment ,Linux,NVIDIA 2090,16,Opteron 6200 Series,Cray XK6,Cray XK9,Cray Interconnect,Cray Gemini interconnect,Western Europe,Europe
331,,"iDataPlex DX360M3, Xeon X5660 6C 2.80 GHz, Infiniband QDR",NASA/Goddard Space Flight Center,IBM,United States,2011,Research,6144,0,60729,68813,88.25,0,0,144,421.73,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
332,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",Lockheed Martin,IBM,United States,2011,Industry,6372,0,60313,67798,88.96,0,0,170.22,354.32,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
333,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",Lockheed Martin,IBM,United States,2011,Industry,6372,0,60313,67798,88.96,0,0,170.22,354.32,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
334,,"Cluster Platform 3000 SL2x170z, Xeon L5680 3.33 GHz, Infiniband",IT Service Provider,Hewlett-Packard,United States,2011,Industry,5760,0,60193,76723.2,78.45,0,0,,,Cluster,Xeon X5260 2C 3.33GHz,Intel Core,3330,Linux,Linux,None,2,Xeon X52xx (Wolfdale),Cluster Platform SL2x170z,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
335,,"Cluster Platform 3000 SL2x170z, Xeon L5680 3.33 GHz, Infiniband",IT Service Provider,Hewlett-Packard,United States,2011,Industry,5760,0,60193,76723.2,78.45,0,0,,,Cluster,Xeon X5260 2C 3.33GHz,Intel Core,3330,Linux,Linux,None,2,Xeon X52xx (Wolfdale),Cluster Platform SL2x170z,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
336,,"Cluster Platform 3000 SL2x170z, Xeon L5680 3.33 GHz, Infiniband",IT Service Provider,Hewlett-Packard,United States,2011,Industry,5760,0,60193,76723.2,78.45,0,0,,,Cluster,Xeon X5260 2C 3.33GHz,Intel Core,3330,Linux,Linux,None,2,Xeon X52xx (Wolfdale),Cluster Platform SL2x170z,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
337,,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE",IT Service Provider,Hewlett-Packard,United Kingdom,2011,Industry,9768,0,59926.7,114481,52.35,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
338,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40 GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,Russia,2011,Industry,12024,0,59903,115430.4,51.9,0,0,,,Cluster,Xeon E5645 6C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
339,bluefire,"Power 575, p6 4.7 GHz, Infiniband",NCAR (National Center for Atmospheric Research),IBM,United States,2008,Research,4064,0,59684.14,76403.2,78.12,0,0,649,91.96,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,North America,Americas
340,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,United States,2011,Industry,10752,0,59640,114401.28,52.13,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
341,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,United States,2011,Industry,10752,0,59640,114401.28,52.13,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
342,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,United States,2011,Industry,10752,0,59640,114401.28,52.13,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
343,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06 GHz, Infiniband QDR",IT Services Provider ,Hewlett-Packard,Japan,2011,Industry,6204,0,59474,75936.96,78.32,0,0,,,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Eastern Asia,Asia
344,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06 GHz, Infiniband QDR",IT Services Provider ,Hewlett-Packard,Japan,2011,Industry,6204,0,59474,75936.96,78.32,0,0,,,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Eastern Asia,Asia
345,,"Cluster Platform 3000 BL2x220, L54xx 2.33 Ghz, GigE",Web Content Provider (W),Hewlett-Packard,United States,2009,Industry,12288,0,59372,114671.62,51.78,0,0,,,Cluster,Xeon L5410 4C 2.33GHz,Intel Core,2333,Linux,Linux,None,4,Xeon L54xx (Harpertown),Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
346,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",Financial Services (H),IBM,United States,2011,Industry,10452,0,59126.9,122497.44,48.27,0,0,293.28,201.61,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
347,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",Financial Services (H),IBM,United States,2011,Industry,10452,0,59126.9,122497.44,48.27,0,0,293.28,201.61,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
348,,"Cluster Platform 3000 BL 2x220, Xeon L5420 4C 2.50 GHz, Gigabit Ethernet",Grupa Allegro,Hewlett-Packard,Poland,2011,Industry,10748,0,59114,107480,55,0,0,,,Cluster,Xeon L5420 4C 2.50GHz,Intel Core,2500,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
349,,"Cluster Platform 3000 BL490c, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Computacenter AG & Co. oHG,Hewlett-Packard,Germany,2011,Industry,9564,0,58721,112090.08,52.39,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL490c,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
350,,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",Computacenter (UK) LTD,Hewlett-Packard,United Kingdom,2010,Industry,11280,0,58705.6,112800,52.04,0,0,,,Cluster,Xeon L5420 4C 2.50GHz,Intel Core,2500,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL460c G1,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
351,,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband",Classified,IBM,United Kingdom,2011,Classified,6368,0,58675.32,67908.35,86.4,0,0,279.4,210,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),xSeries x3650 Cluster Xeon quad core,IBM xSeries,Infiniband,Infiniband,Northern Europe,Europe
352,,"BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Infiniband",Lockheed Martin,IBM,United States,2011,Industry,5640,0,58335,66101,88.25,0,0,158.26,368.6,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
353,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06 GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2011,Industry,9078,0,58318,111114.72,52.48,0,0,,,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
354,,"Power 750, Power7 3.86 GHz, 10GigE",IBM Thomas J. Watson Research Center,IBM,United States,2011,Research,2560,0,58310,79053,73.76,0,0,120.56,483.66,MPP,POWER7 8C 3.86GHz,Power,3860,SUSE Linux,Linux,None,8,POWER7,Power 750,IBM pSeries,Gigabit Ethernet,10G Ethernet,North America,Americas
355,,"Cluster Platform SL2x170z, Xeon L5640 6C 2.26 GHz, Gigabit Ethernet",Bank,Hewlett-Packard,France,2011,Industry,12384,0,58017,111951.36,51.82,0,0,,,Cluster,Xeon L5640 6C 2.26GHz,Intel EM64T,2260,Linux,Linux,None,6,Xeon L56xx (Westmere-EP),Cluster Platform SL2x170z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
356,Yale - Omega,"Cluster Platform 3000 BL460c G6, Xeon X5560 4C 2.80GHz, Infiniband QDR",Yale University,Hewlett-Packard,United States,2010,Academic,5632,0,57800,63078.4,91.63,1486952,0,,,Cluster,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,North America,Americas
357,,"Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.40 GHz, Gigabit Ethernet",IT Services Provider (B),Hewlett-Packard,China,2011,Industry,11616,0,57628,111513.6,51.68,0,0,,,Cluster,Opteron 6136 8C 2.40GHz,AMD x86_64,2400,Linux,Linux,None,8,Opteron 8 Core,Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
358,,"HP SL390s/170s  G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Geoscience (P),Hewlett-Packard,United States,2011,Industry,10368,0,57614,110315.52,52.23,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),HP SL390s/170s  G7,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
359,,"Cluster Platform 3000 BL460c G6, Xeon L5520 2.26 GHz, Infiniband",Financial Institution,Hewlett-Packard,United States,2011,Industry,8192,0,57554.5,74055.7,77.72,0,0,,,Cluster,Xeon L5520 4C 2.26GHz,Intel EM64T,2260,Linux,Linux,None,4,Xeon L55xx (Nehalem-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband,North America,Americas
360,Supernova,"Cluster Platform 3000 BL2x220, X56xx 2.66 Ghz, Infiniband",Wroclaw Centre for Networking and Supercomputing,Hewlett-Packard,Poland,2011,Academic,6348,0,57410,67542,85,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband,Eastern Europe,Europe
361,,"Cluster Platform BL460c/280c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Service Provider,Hewlett-Packard,United States,2011,Industry,10320,0,57358,109804.8,52.24,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c/280c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
362,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06 GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2011,Industry,8850,0,56903,108324,52.53,0,0,,,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
363,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06 GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2011,Industry,8850,0,56903,108324,52.53,0,0,,,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
364,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06 GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2011,Industry,8850,0,56903,108324,52.53,0,0,,,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
365,,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband",Banking (M),IBM,United States,2010,Industry,6048,0,56790.8,64350.72,88.25,0,0,141,402.77,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
366,,"NEC LX-2400 Cluster, Xeon X5550 2.66 Ghz, Infiniband",Universitaet Erlangen,NEC,Germany,2010,Academic,5880,0,56730,62563,90.68,0,0,160,354.56,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),NEC LX-2400,NEC Cluster,Infiniband,Infiniband,Western Europe,Europe
367,Plasma Simulator,"Hitachi SR16000 Model L2/128, Power6 4.7Ghz, Infiniband",National Institute for Fusion Science (NIFS),Hitachi,Japan,2009,Research,4096,0,56650,77004.8,73.57,1100000,0,645,87.83,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,Hitachi SR16000 Model L2,Hitachi SR16000,Infiniband,Infiniband,Eastern Asia,Asia
368,HLRB-II,Altix 4700 1.6 GHz,Leibniz Rechenzentrum,SGI,Germany,2007,Academic,9728,0,56520,62259.2,90.78,1583232,0,990,57.09,MPP,Itanium2 Montecito Dual Core 2C 1.60GHz,Intel IA-64,1600,SUSE Linux Enterprise Server 10,Linux,None,2,Itanium2 Montecito Dual Core,SGI Altix 4700,SGI Altix,NUMAlink,NUMAlink,Western Europe,Europe
369,,"Cluster Platform 3000 BL460c G7, Xeon E5620 2.4 Ghz, GigE",Web Company (C),Hewlett-Packard,China,2011,Industry,11292,0,56414.8,108403.2,52.04,0,0,,,Cluster,Xeon E5620 4C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,4,Xeon E56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
370,,"xSeries x3550M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Engineering Company,IBM,China,2011,Industry,9984,0,56260,117012,48.08,0,0,317.82,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3550M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
371,,"xSeries x3550M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Engineering Company,IBM,China,2011,Industry,9984,0,56260,117012,48.08,0,0,317.82,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3550M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
372,Jade,Cray XT4 QuadCore 2.1 GHz,ERDC DSRC,Cray Inc.,United States,2008,Research,8464,0,56250,71097,79.12,0,0,418,134.57,MPP,Opteron Quad Core 4C 2.10GHz,AMD x86_64,2100,CNL,Linux,None,4,Opteron Quad Core,Cray XT4 QuadCore,Cray XT,Proprietary Network,XT4 Internal Interconnect,North America,Americas
373,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9960,0,56124.99,100795.2,55.68,0,0,302.12,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
374,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9960,0,56124.99,100795.2,55.68,0,0,302.12,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
375,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9960,0,56124.99,100795.2,55.68,0,0,302.12,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
376,,"BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Infiniband",Classified,IBM,United Kingdom,2011,Classified,5412,0,55977,63429,88.25,0,0,151.86,368.61,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,Northern Europe,Europe
377,,"Cluster Platform 3000 280c G7, Xeon X5672 4C 3.20 GHz, Infiniband QDR",IT Service Provider,Hewlett-Packard,United States,2011,Industry,5568,0,55957,71270.4,78.51,0,0,,,Cluster,Xeon X5672 4C 3.20GHz,Intel Nehalem,3200,Linux,Linux,None,4,Xeon X56xx (Westmere-EP),Cluster Platform 3000 280c G7,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,North America,Americas
378,,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE",Service Provider,IBM,Japan,2010,Industry,11640,0,55944.75,105551.52,53,0,0,510,109.7,Cluster,Xeon E5520 4C 2.27GHz,Intel EM64T,2267,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries x3650M2 Cluster Xeon QC,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
379,,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",IT Service Provider,Hewlett-Packard,United States,2010,Industry,9072,0,55804.7,106323.8,52.49,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
380,,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",IT Service Provider,Hewlett-Packard,United States,2010,Industry,9072,0,55804.7,106323.8,52.49,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
381,,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",Network Company,IBM,China,2011,Industry,9856,0,55755,99742.72,55.9,0,0,311.61,178.93,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
382,,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",Network Company,IBM,China,2011,Industry,9856,0,55755,99742.72,55.9,0,0,311.61,178.93,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
383,,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",Geoscience,IBM,United States,2011,Industry,6048,0,55727,67738,82.27,0,0,211.68,263.26,Cluster,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
384,,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",Geoscience,IBM,United States,2011,Industry,6048,0,55727,67738,82.27,0,0,211.68,263.26,Cluster,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
